@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
0.748466,0.440809,7.261405,0.022253,0.335766,0.001348,notBlood
0.492201,0.135655,21.872709,0.048679,0.547445,0.0052,notBlood
0.85,0.502655,2.075715,0.006954,0.910323,0.000023,notBlood
0.224196,0.029342,31.158913,0.105702,0.407716,0.014657,notBlood
1,0.610865,4.257047,0.018081,0.379562,0.00001,notBlood
0.826087,0.427589,10.350792,0.027816,0.367049,0.000026,notBlood
1,0.493092,6.784496,0.034771,0.37122,0.000048,notBlood
0.888889,0.504206,2.869963,0.029207,0.864442,0.000019,notBlood
1,0.72698,9.676397,0.057024,0.361835,0.00001,notBlood
1,0.669215,1.054093,0.061196,0.325339,0.000013,notBlood
1,0.446143,2.629956,0.100139,0.316997,0.000009,notBlood
1,0.731008,2.602981,0.108484,0.118874,0.00003,notBlood
1,0.594858,3.370367,0.111266,0.138686,0.000012,notBlood
1,0.384685,8.558216,0.1363,0.316997,0.000035,notBlood
1,0.879646,1.772811,0.130737,0.40146,0.00001,notBlood
0.818182,0.415417,3.446572,0.150209,0.416058,0.000052,notBlood
1,0.395945,25.807684,0.157163,0.40146,0.000088,notBlood
1,0.670206,1.037492,0.15299,0.396246,0.000017,notBlood
0.9375,0.687223,5.212328,0.154381,0.408759,0.00002,notBlood
1,0.610865,4.050699,0.157163,0.391032,0.00001,notBlood
1,0.775702,1.095445,0.155772,0.948905,0.000007,notBlood
0.943396,0.509992,15.004892,0.166898,0.171011,0.00066,notBlood
1,0.628319,1.74356,0.162726,0.346194,0.000007,notBlood
1,0.785398,2.572408,0.164117,0.35245,0.000013,notBlood
1,0.614356,1.113404,0.164117,0.429614,0.000016,notBlood
1,0.436332,1.83303,0.168289,0.191867,0.000007,notBlood
1,0.558505,3.377869,0.168289,0.383733,0.000014,notBlood
1,0.775702,1.939072,0.166898,0.12513,0.000007,notBlood
1,0.775702,0.8,0.166898,0.131387,0.000007,notBlood
1,0.288514,11.965485,0.175243,0.321168,0.000026,notBlood
1,0.384685,0.745356,0.166898,0.369135,0.000009,notBlood
0.941176,0.608752,4.31951,0.16968,0.41293,0.00002,notBlood
0.95,0.722566,1.735867,0.172462,0.129301,0.000033,notBlood
1,0.775702,9.703608,0.175243,0.391032,0.000007,notBlood
1,0.638136,3.3193,0.178025,0.385819,0.000019,notBlood
0.962963,0.517135,1.254326,0.179416,0.986444,0.000043,notBlood
1,0.641141,1.2,0.178025,0.370177,0.000014,notBlood
0.962963,0.327519,2.177701,0.178025,0.44317,0.000027,notBlood
1,0.310281,2.12132,0.178025,0.46194,0.000012,notBlood
1,0.520501,1.049781,0.180807,0.472367,0.00001,notBlood
0.983051,0.173279,19.81572,0.183588,0.502607,0.000069,notBlood
1,0.72698,2.099563,0.183588,0.452555,0.00001,notBlood
1,0.72698,3.207135,0.18637,0.384776,0.00001,notBlood
1,0.565487,5.740263,0.18637,0.400417,0.000026,notBlood
0.981481,0.168069,15.109767,0.187761,0.472367,0.000056,notBlood
1,0.558505,17.515993,0.187761,0.328467,0.000014,notBlood
0.948052,0.273412,12.095721,0.198887,0.173097,0.000187,notBlood
1,0.136354,18.480866,0.190542,0.362878,0.000036,notBlood
0.98,0.075398,15.042265,0.191933,0.429614,0.000087,notBlood
0.925926,0.275805,1.727534,0.197497,0.961418,0.000023,notBlood
0.943662,0.216876,7.03653,0.218359,0.137643,0.000126,notBlood
1,0.696198,3.44093,0.232267,0.117831,0.000029,notBlood
0.867925,0.362362,8.129796,0.25452,0.196038,0.000117,notBlood
1,0.830834,0.433013,0.805285,0.918665,0.000012,notBlood
1,0.775702,0.979796,0.942976,0.947862,0.000007,notBlood
0.928571,0.512913,2.772634,0.000733,0.418514,0.000008,notBlood
1,0.1122,7.422645,0.000733,0.573664,0.000027,notBlood
1,0.282743,2.601044,0.001465,0.409387,0.000009,notBlood
1,0.343612,3.331973,0.001465,0.526728,0.000007,notBlood
1,0.184078,1.857118,0.001465,0.761408,0.000014,notBlood
1,0.184078,2.59401,0.001465,0.782269,0.000014,notBlood
1,0.349066,6.09999,0.018315,0.444589,0.000009,notBlood
1,0.698132,9.218697,0.024176,0.440678,0.000008,notBlood
1,0.701017,13.187578,0.027106,0.431551,0.000026,notBlood
1,0.785398,3.265986,0.027106,0.256845,0.000009,notBlood
1,0.72698,1.690309,0.032234,0.243807,0.000007,notBlood
1,0.879646,2.507133,0.032234,0.26206,0.000007,notBlood
1,0.271496,10.411924,0.061538,0.367666,0.000027,notBlood
1,0.305433,5.716517,0.057875,0.238592,0.000013,notBlood
1,0.384685,1.972027,0.065201,0.937419,0.000006,notBlood
1,0.239983,1.641406,0.07326,0.937419,0.00001,notBlood
1,0.436332,2.059126,0.071795,0.315515,0.000005,notBlood
1,0.448799,2.587253,0.072527,0.370274,0.000007,notBlood
1,0.142476,3.154362,0.091575,0.936115,0.000019,notBlood
1,0.242019,3.647701,0.112088,0.464146,0.000037,notBlood
0.918919,0.330452,4.639055,0.125275,0.474576,0.000034,notBlood
0.933333,0.558505,14.383671,0.12381,0.286832,0.00001,notBlood
0.933333,0.655371,77.906929,0.134799,0.43807,0.000716,notBlood
0.531792,0.129647,35.499921,0.14652,0.294654,0.002649,notBlood
1,0.436332,0.979796,0.134066,0.260756,0.000005,notBlood
0.692857,0.360963,65.802551,0.150183,0.388527,0.000537,notBlood
1,0.343612,0,0.139927,0.265971,0.000007,notBlood
0.961538,0.594858,3.344626,0.142857,0.200782,0.000031,notBlood
1,0.76937,15.86116,0.161172,0.35854,0.000011,notBlood
1,0.055065,7.574527,0.194139,0.853977,0.00011,notBlood
0.966667,0.418879,10.157865,0.176557,0.548892,0.000029,notBlood
1,0.512913,3.257204,0.186813,0.451108,0.000008,notBlood
1,0.436332,3.709447,0.187546,0.440678,0.000005,notBlood
0.836066,0.307321,13.116129,0.194139,0.530639,0.000087,notBlood
0.943396,0.318745,5.345664,0.210989,0.470665,0.000272,notBlood
1,0.623126,3.804237,0.196337,0.357236,0.000006,notBlood
1,0.753982,4.472136,0.217582,0.505867,0.000006,notBlood
1,0.698132,3.307189,0.221978,0.451108,0.000008,notBlood
1,0.239983,1.402477,0.224908,0.853977,0.00001,notBlood
1,0.589049,6.77157,0.224176,0.43807,0.000011,notBlood
1,0.698132,5.764926,0.222711,0.499348,0.000008,notBlood
0.95,0.565487,13.908431,0.224908,0.492829,0.000017,notBlood
0.872727,0.137088,13.156513,0.238095,0.461538,0.000126,notBlood
1,0.239983,1.164204,0.242491,0.853977,0.00001,notBlood
1,0.479966,15.540669,0.246154,0.421121,0.000021,notBlood
1,0.195477,0.742307,0.252015,0.853977,0.000013,notBlood
1,0.698132,7.106335,0.254945,0.411995,0.000008,notBlood
0.964286,0.416742,12.552375,0.255678,0.434159,0.000025,notBlood
1,0.452529,8.307692,0.25641,0.421121,0.000012,notBlood
1,0.817929,1.526623,0.266667,0.850065,0.00001,notBlood
1,0.775702,5.01996,0.271795,0.876141,0.000005,notBlood
1,0.223072,5.53022,0.278388,0.852673,0.000011,notBlood
1,0.753982,2.477678,0.279121,0.504563,0.000006,notBlood
1,0.610865,3.295018,0.290842,0.847458,0.000007,notBlood
1,0.628319,7.964923,0.292308,0.431551,0.000005,notBlood
1,0.696198,3.58155,0.294505,0.594524,0.000019,notBlood
1,0.659347,9.07142,0.295971,0.461538,0.000016,notBlood
1,0.753982,7.659417,0.300366,0.423729,0.000006,notBlood
0.981481,0.241329,13.75022,0.301099,0.440678,0.000053,notBlood
0.75,0.282743,4.135345,0.317216,0.831812,0.000034,notBlood
1,0.436332,2.607681,0.317216,0.820078,0.000005,notBlood
0.964912,0.154711,4.969847,0.331136,0.657106,0.000038,notBlood
0.952381,0.220838,5.487096,0.331136,0.688396,0.00003,notBlood
0.988506,0.122858,11.201227,0.335531,0.599739,0.000071,notBlood
0.846154,0.520501,4.189394,0.332601,0.705346,0.000007,notBlood
1,0.487338,5.728999,0.334066,0.723598,0.000013,notBlood
1,0.775702,3.97995,0.335531,0.73794,0.000005,notBlood
