@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
1,0.72698,0.832993,0.019355,0.051621,0.000002,notBlood
1,0.72698,4.365916,0.057072,0.091992,0.000002,notBlood
1,0.775702,2.6533,0.104715,0.142952,0.000002,notBlood
1,0.623126,4.072264,0.112159,0.333554,0.000002,notBlood
1,0.775702,4.079216,0.144913,0.18994,0.000002,notBlood
1,0.610865,2.920721,0.14938,0.398412,0.000002,notBlood
1,0.753982,2.867442,0.151365,0.365321,0.000002,notBlood
1,0.753982,4.082483,0.169231,0.346128,0.000002,notBlood
1,0.698132,3.854786,0.173201,0.180013,0.000003,notBlood
1,0.623126,4.606758,0.172705,0.308405,0.000002,notBlood
1,0.72698,3.811904,0.176179,0.315685,0.000002,notBlood
0.069182,0.005989,26.324369,0.608437,0.454004,0.299132,notBlood
1,0.775702,4.833218,0.176675,0.095301,0.000002,notBlood
1,0.775702,4.445222,0.178164,0.354732,0.000002,notBlood
1,0.753982,15.249772,0.179653,0.303111,0.000002,notBlood
1,0.775702,13.754999,0.179653,0.395103,0.000002,notBlood
0.727162,0.152782,3.025093,0.224318,0.849107,0.002688,notBlood
1,0.753982,11.785113,0.180149,0.167439,0.000002,notBlood
1,0.614356,0.833196,0.181141,0.804103,0.000004,notBlood
1,0.623126,1.105542,0.184615,0.80675,0.000002,notBlood
1,0.775702,1.496663,0.191067,0.814692,0.000002,notBlood
0.916667,0.523599,1.067187,0.198511,0.824619,0.000002,notBlood
0.933333,0.558505,3.080584,0.2,0.822634,0.000003,notBlood
0.802395,0.659769,5.691862,0.237717,0.781602,0.001921,notBlood
1,0.436332,0.748331,0.212407,0.779616,0.000002,notBlood
1,0.628319,1.67332,0.214888,0.832561,0.000002,notBlood
1,0.919747,13.929593,0.240695,0.399073,0.002005,notBlood
1,0.643172,22.423892,0.241191,0.287889,0.000383,notBlood
1,1,4.53612,0.282382,0.80675,0.000004,notBlood
1,0.353061,6.224206,0.284367,0.792191,0.000009,notBlood
1,0.753982,3.091206,0.284367,0.804765,0.000002,notBlood
1,0.436332,2.529822,0.289826,0.809398,0.000002,notBlood
1,0.775702,3.187475,0.290819,0.813369,0.000002,notBlood
1,0.736917,2.166223,0.313648,0.868299,0.000006,notBlood
1,0.775702,4.166533,0.325062,0.796823,0.000002,notBlood
0.985401,0.604416,15.713474,0.376179,0.588352,0.001185,notBlood
0.774869,0.543391,8.74537,0.401985,0.784911,0.00207,notBlood
1,0.72698,0.728431,0.388089,0.82131,0.000002,notBlood
1,0.775702,1.74356,0.439702,0.076109,0.000002,notBlood
1,0.775702,0.8,0.462531,0.839841,0.000002,notBlood
1,0.687223,2.124925,0.465012,0.842488,0.000005,notBlood
0.803571,0.340606,1.801806,0.471464,0.843812,0.000028,notBlood
1,0.809668,11.314721,0.475931,0.746525,0.000032,notBlood
1,0.865453,8.664933,0.481886,0.627399,0.000098,notBlood
1,0.558505,0.67082,0.477916,0.844474,0.000003,notBlood
1,1,7.791214,0.483375,0.480477,0.00012,notBlood
1,0.939867,13.752466,0.479404,0.22634,0.000009,notBlood
1,0.902257,9.378884,0.484864,0.319656,0.000109,notBlood
1,0.762162,12.675608,0.481886,0.690271,0.000013,notBlood
0.8,0.341805,0.696009,0.48139,0.842488,0.000006,notBlood
1,0.762162,12.657996,0.482878,0.571807,0.000013,notBlood
1,0.721284,10.317527,0.48536,0.291198,0.000015,notBlood
1,0.623126,0.471405,0.483375,0.840503,0.000002,notBlood
